trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2019-06-15 00:00:00.000,1,54,26.129824
2021-06-26 00:00:00.000,1,67,33.8885
2018-09-16 00:00:00.000,1,44,18.413195
2016-08-26 00:00:00.000,2,76,37.834507
2022-02-13 00:00:00.000,1,38,17.225695
2020-11-07 00:00:00.000,4,58,27.091837
2021-10-31 00:00:00.000,1,49,20.48951
2020-02-28 00:00:00.000,6,67,32.979168
2016-04-28 00:00:00.000,2,76,40.185314
2020-07-24 00:00:00.000,4,58,30.760784
2021-07-28 00:00:00.000,1,62,27.940971
2016-12-27 00:00:00.000,1,74,32.0625
2016-08-12 00:00:00.000,4,78,38.2892
2020-09-29 00:00:00.000,2,65,31.989584
2022-05-04 00:00:00.000,0,53,21.263123
2020-11-29 00:00:00.000,1,31,11.368055
2018-08-22 00:00:00.000,1,27,10.839722
2018-06-25 00:00:00.000,1,63,25.107639
2022-02-10 00:00:00.000,1,63,30.673611
2020-02-02 00:00:00.000,2,53,22.503471
2021-04-21 00:00:00.000,1,62,28.202335
2023-02-08 00:00:00.000,4,65,28.556355
2019-02-02 00:00:00.000,1,53,24.240417
2022-08-02 00:00:00.000,1,65,28.482882
2017-06-14 00:00:00.000,1,61,27.379791
2017-08-01 00:00:00.000,1,54,27.799999
2017-07-27 00:00:00.000,1,82,28.875502
2022-03-07 00:00:00.000,8,67,31.107639
2017-12-03 00:00:00.000,1,49,18.661871
2019-11-03 00:00:00.000,2,65,30.048611
2021-08-22 00:00:00.000,1,40,19.236364
2017-04-26 00:00:00.000,1,57,27.501818
2016-01-13 00:00:00.000,8,76,38.232639
2022-08-26 00:00:00.000,0,72,29.370325
2019-10-11 00:00:00.000,1,67,30.020834
2018-09-27 00:00:00.000,2,60,28.701818
2017-08-17 00:00:00.000,1,57,29.546099
2015-10-20 00:00:00.000,1,69,31.748251
2019-07-03 00:00:00.000,1,54,25.180555
2018-05-15 00:00:00.000,1,63,29.12937
2019-10-24 00:00:00.000,2,69,30.367857
2021-01-25 00:00:00.000,4,80,43.65625
2019-11-23 00:00:00.000,4,62,30.409721
2022-10-07 00:00:00.000,0,74,33.151695
2017-12-17 00:00:00.000,1,53,21.185965
2019-04-23 00:00:00.000,1,38,15.986014
2020-10-31 00:00:00.000,2,40,19.871529
2016-07-27 00:00:00.000,4,74,33.549644
2017-12-20 00:00:00.000,1,65,29.843206
2021-12-06 00:00:00.000,1,74,30.183453
2020-02-04 00:00:00.000,9,62,32.439026
2016-04-30 00:00:00.000,4,78,41.40625
2022-09-07 00:00:00.000,1,74,31.711372
2017-08-11 00:00:00.000,1,54,26.118143
2016-07-13 00:00:00.000,1,63,31.425087
2021-07-02 00:00:00.000,1,65,35.411148
2017-03-31 00:00:00.000,1,54,26.211805
2019-10-06 00:00:00.000,1,45,21.788195
2019-09-11 00:00:00.000,1,60,25.950705
2023-01-10 00:00:00.000,1,72,30.821768
2021-10-16 00:00:00.000,6,58,34.084507
2020-12-27 00:00:00.000,1,13,3.7951388
2022-10-01 00:00:00.000,1,65,29.395523
2022-09-26 00:00:00.000,1,69,27.83956
2021-03-10 00:00:00.000,6,63,33.454861
2021-03-20 00:00:00.000,4,65,33.076389
2020-09-07 00:00:00.000,1,62,28.409721
2018-02-02 00:00:00.000,1,74,28.674826
2016-10-11 00:00:00.000,1,80,27.916666
2022-06-06 00:00:00.000,1,67,27.865419
2019-08-09 00:00:00.000,1,51,25.304195
